,npi_number,name,url,street_address,city,state,zip_code,publish_date,combined_address,latitude,longitude
0,1376577247,Albany Medical Center,https://www.amc.edu/sPBS/PriceTransparency/Dec2020/141338307_AlbanyMedicalCenter_standardcharges.csv,43 New Scotland Ave,Albany,NY,12208,2020-12-01 00:00:00 +0000 UTC,"['43 New Scotland Ave', 'Albany', 'NY']",42.653810500000006,-73.77695851652038
1,1376577247-A,Albany Medical Center - Lab Services,https://www.amc.edu/sPBS/PriceTransparency/Dec2020/141338307_AlbanyMedicalCenter_standardcharges.csv,43 New Scotland Ave,Albany,NY,12208,2020-12-01 00:00:00 +0000 UTC,"['43 New Scotland Ave', 'Albany', 'NY']",NA,NA
2,1376579557,Eastern Maine Healthcare Systems Inland Hospital,https://northernlighthealth.org/Billing-and-Financial-Services/DRG-and-Standard-Charge-Information/Standard-Charge-Information/Inland-Hospital-CDM-3-4-19,200 Kennedy Memorial Dr,Waterville,ME,04901-4526,,"['200 Kennedy Memorial Dr', 'Waterville', 'ME']",NA,NA
3,1376592311,WILLIAM BEAUMONT HOSPITAL,https://www.beaumont.org/patients-families/billing/pricing/2021-beaumont-health-price-transparency-information,3601 W 13 MILE RD,ROYAL OAK,MI,48073-6712,2021-01-16 00:00:00 +0000 UTC,"['3601 W 13 MILE RD', 'ROYAL OAK', 'MI']",NA,NA
4,1376595777.0,Good Samaritan Hospital,https://goodsamsanjose.com/about/legal/pricing-transparency-cms-required-file-of-standard-charges.dot,2425 Samaritan Dr,San Jose,CA,95124.0,2021-01-01 00:00:00 +0000 UTC,"['2425 Samaritan Dr', 'San Jose', 'CA']",NA,NA
5,1376597328.0,Eastside Medical Center,https://eastsidemedical.com/about/legal/pricing-transparency-cms-required-file-of-standard-charges.dot,1700 Medical Way,Snellville,GA,30078.0,2021-01-01 00:00:00 +0000 UTC,"['1700 Medical Way', 'Snellville', 'GA']",NA,NA
6,1376644385,ST. ALEXIUS MEDICAL CENTER,https://healthcare.ascension.org/-/media/project/ascension/healthcare/price-transparency-files/il/364251846_st-alexius-medical-center-incl-womens-and-childrens-hospitals_standardcharges.xlsx,1555 BARRINGTON ROAD,HOFFMAN ESTATES,IL,60169,,"['1555 BARRINGTON ROAD', 'HOFFMAN ESTATES', 'IL']",NA,NA
7,1376698043,Panorama City Medical Center,https://healthy.kaiserpermanente.org/content/dam/kporg/final/documents/health-plan-documents/coverage-information/941340523_PanoramaMedicalCenter_standardcharges.xlsx,13651 Willard St,Panorama City,CA,91402,2021-01-01 00:00:00 +0000 UTC,"['13651 Willard St', 'Panorama City', 'CA']",NA,NA
8,1376816975,ASCENSION MEDICAL GROUP ST. VINCENT,https://healthcare.ascension.org/-/media/project/ascension/healthcare/price-transparency-files/in/351841606_ascension-st-vincent-jennings_standardcharges.xlsx,301 HENRY ST,NORTH VERNON,IN,47265-1030,,"['301 HENRY ST', 'NORTH VERNON', 'IN']",NA,NA
9,1376829812,Encompass Health Rehabilitation Hospital The Vintage,https://encompasshealth.com/locations/thevintagerehab/transparency-healthcare,20180 CHASEWOOD PARK DRIVE,HOUSTON,TX,77070,,"['20180 CHASEWOOD PARK DRIVE', 'HOUSTON', 'TX']",NA,NA
10,1376985135,Atrium Health Mercy,https://chsprodrsrcegrporg385.blob.core.windows.net/cms-price-transparency/56-1398929_AtriumHealthMercy_StandardCharges.json,2001 Vail Ave. ,Charlotte,NC,28207,,"['2001 Vail Ave. ', 'Charlotte', 'NC']",NA,NA
11,1386009108,Kentfield San Francisco,https://kentfieldsanfrancisco.com/wp-content/uploads/sites/23/2021/02/030501846_Vibra-Hospital-of-San-Francisco_Standard-Charges.xlsx,"450 Stanyan St., 6th Floor", San Francisco,CA,94117,,"['450 Stanyan St., 6th Floor', ' San Francisco', 'CA']",NA,NA
12,1386192417,WILLIAM BEAUMONT HOSPITAL,https://www.beaumont.org/patients-families/billing/pricing/2021-beaumont-health-price-transparency-information,18181 OAKWOOD BLVD,DEARBORN,MI,48124-5032,2021-01-17 00:00:00 +0000 UTC,"['18181 OAKWOOD BLVD', 'DEARBORN', 'MI']",NA,NA
13,1386652527,Cornerstone Regional Hospital,https://uhsfilecdn.eskycity.net/ac/cornerstone-regional-hospital_standard-charges.csv,2302 Cornerstone Boulevard,Edinburg,TX,78539,,"['2302 Cornerstone Boulevard', 'Edinburg', 'TX']",NA,NA
14,1386681468.0,Lawnwood Medical Center & Heart Institute,https://lawnwoodmed.com/about/legal/pricing-transparency-cms-required-file-of-standard-charges.dot,1700 S 23rd St,Fort Pierce,FL,34950.0,2021-01-01 00:00:00 +0000 UTC,"['1700 S 23rd St', 'Fort Pierce', 'FL']",NA,NA
15,1386693505,WILLIAM BEAUONT HOSPITAL,https://www.beaumont.org/patients-families/billing/pricing/2021-beaumont-health-price-transparency-information,3601 W 13 MILE RD,ROYAL OAK,MI,48073-6712,2021-01-16 00:00:00 +0000 UTC,"['3601 W 13 MILE RD', 'ROYAL OAK', 'MI']",NA,NA
16,1386698918,Doctors Hospital of Augusta,https://doctors-hospital.net/about/legal/pricing-transparency-cms-required-file-of-standard-charges.dot,3651 Wheeler Rd,Augusta,GA,30909,2021-01-01 00:00:00 +0000 UTC,"['3651 Wheeler Rd', 'Augusta', 'GA']",NA,NA
